CODFILIAL;NUMPED;CNPJ_FORNECEDOR;FORNECEDOR;CNPJ_CLIENTE;CLIENTE;ESTADO;TOTAL_FATURADO;VALOR_DEVOLVIDO
7;2131003429;47252;HYPERA S.A;10129,0;P S DE MELO - ME;BA;1207,8;
7;2131003431;33766;CIFARMA CIENTIFICA FARMAC LTDA;132669,0;BV FARMA COMERCIO DE MEDICAMENTOS LTDA;BA;757,94;
7;2131003432;47252;HYPERA S.A;8308,0;VME- FARMACIA, DROG E PERFUMARIA LTDA;BA;4588,51;
7;2131003433;47252;HYPERA S.A;8308,0;VME- FARMACIA, DROG E PERFUMARIA LTDA;BA;4588,51;
7;2131003434;47252;HYPERA S.A;8308,0;MV FARMACIA DROGARIA E PERFUMARIA LTDA;BA;4588,51;
7;2131003435;47252;HYPERA S.A;1136,0;DROGARIA NASCIMENTO LTDA;BA;9099,18;
7;2131003436;47252;HYPERA S.A;1136,0;EDMO SANTOS NASCIMENTO;BA;8840,78;
7;2131003437;47252;HYPERA S.A;1136,0;NASCIMENTO COM PRODS FARM LTDA;BA;13974,56;
7;2131003438;47252;HYPERA S.A;1136,0;YONE DE CARVALHO S. NASCIMENTO;BA;6436,23;1875,83
7;2131003439;47252;HYPERA S.A;1136,0;YONE DE CARVALHO S. NASCIMENTO;BA;72,79;
7;2131003440;47252;HYPERA S.A;1136,0;DROGARIA  SILVA NASCIMENTO LTDA;BA;11862,68;
7;2131003441;47252;HYPERA S.A;1136,0;DROGARIA BETEL 5 LTDA;BA;2936,65;
7;2131003442;47252;HYPERA S.A;1136,0;DROGARIA NASCIMENTO LTDA ME;BA;11306,85;
7;2131003443;47252;HYPERA S.A;1136,0;DROGARIA BETEL DE UNA LTDA - ME;BA;8593,74;
7;2131003444;47252;HYPERA S.A;1136,0;DROGARIA BETEL DE UNA LTDA - ME;BA;8324,16;
7;2131003445;47252;HYPERA S.A;1136,0;EDMO SANTOS NASCIMENTO;BA;1142,88;
3;2133001941;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;2651,97;
3;2133001942;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;FARMACIA PROVIDA LTDA;CE;1264,36;11,03
3;2133001943;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;PROVIDA LTDA;CE;721,04;
3;2133001944;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;PROVIDA FARMACIA LTDA;CE;644,61;
3;2133001949;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;FARMACIA PROVIDA LTDA;CE;394,56;
3;2133001950;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;686,83;
3;2133001964;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;59653,42;46,63
3;2133001965;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;FARMACIA PROVIDA LTDA;CE;29585,84;
3;2133001966;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;PROVIDA LTDA;CE;68712,36;66,7
3;2133001967;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;20310,41;
3;2133001969;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;4167,12;
3;2133001974;30241;KIMBERLY-CLARK BRASIL IND.E CO;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;23931,31;
7;2134007644;33057;NATULAB LABORATORIO LTDA;99821,0;DROGARIA ALMEIDA PINTO LTDA;BA;1691,26;
9;2145008912;53333;GERMED FARMACEUTICA LTDA;101746,0;VIDALFARMA PRODUTOS FARMACEUTICOS LTDA;PE;26,88;
9;2145008913;53333;GERMED FARMACEUTICA LTDA;100428,0;FERNANDO CAVALCANTI & CIA LTDA;PE;51,12;
9;2145008948;53333;GERMED FARMACEUTICA LTDA;102640,0;GILSON DE S. MACEDO FARMACIA ME;PE;262,1;
9;2145008973;53333;GERMED FARMACEUTICA LTDA;102794,0;*ANTONIO MARCOS AMORIM DE MACEDO ME;PE;294,94;
9;2145008977;53333;GERMED FARMACEUTICA LTDA;100809,0;MARQUES & MEDEIROS LTDA;PE;316,52;
9;2145008979;53333;GERMED FARMACEUTICA LTDA;102320,0;BRUNA RUANA DA SILVA NUNES;PE;1886,77;
9;2145008980;53333;GERMED FARMACEUTICA LTDA;102661,0;FARMACIA DO TRABALHADOR POPULAR DO BRASIL EM PETROLINA EIREL;PE;224,66;
9;2145008981;53333;GERMED FARMACEUTICA LTDA;102667,0;FARMACIA DO TRABALHADOR POPULAR DO BRASIL EIRELI ME;PE;224,66;
9;2145008982;53333;GERMED FARMACEUTICA LTDA;131465,0;FARMACIAS POPULAR PRIME VIVENDAS LTDA;PE;139,18;
9;2145008987;53333;GERMED FARMACEUTICA LTDA;102661,0;FARMACIA DO TRABALHADOR POPULAR DO BRASIL EM PETROLINA EIREL;PE;209,21;
9;2145008988;53333;GERMED FARMACEUTICA LTDA;100962,0;FARMACIA BEIRA RIO LTDA;PE;1674,75;
9;2146005860;53333;GERMED FARMACEUTICA LTDA;101833,0;GODOY MAIS MEDICAMENTOS LTDA - EPP;PE;675,89;
9;2146005877;53333;GERMED FARMACEUTICA LTDA;101020,0;DROGAL MEDICAMENTOS LTDA;PE;291,27;
9;2146005901;53333;GERMED FARMACEUTICA LTDA;101833,0;GODOY MEDICAMENTOS LTDA - EPP;PE;244,33;
7;2163005741;33766;CIFARMA CIENTIFICA FARMAC LTDA;7679,0;FARMACIA ESTRELA BRASIL EIRELI - ME;BA;102,16;
7;2163005749;33766;CIFARMA CIENTIFICA FARMAC LTDA;7679,0;FARMACIA ESTRELA BRASIL EIRELI - ME;BA;66,29;
2;2171004675;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;56316,0;REINALDO E FILHOS LTDA;PI;2613,1;
2;2171004675;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;56316,0;REINALDO E FILHOS LTDA;PI;2613,1;
2;2171004686;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;58521,0;BEM FARMA LTDA;PI;1251,01;
2;2171004686;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;58521,0;BEM FARMA LTDA;PI;1251,01;
2;2171004687;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;95453,0;ELLO DISTRIBUIDORA DE MEDICAMENTOS EIRELI;PI;9598,61;
2;2171004687;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;95453,0;ELLO DISTRIBUIDORA DE MEDICAMENTOS EIRELI;PI;9598,61;
2;2171004688;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;58521,0;BEM FARMA LTDA;PI;667,96;
2;2171004689;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;58521,0;BEM FARMA LTDA;PI;681,32;
2;2171004690;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;118828,0;ERIC NICOLAS CASTRO SILVA EIRELI;PI;7598,44;
2;2171004690;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;118828,0;ERIC NICOLAS CASTRO SILVA EIRELI;PI;7598,44;
2;2171004691;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;118828,0;POP FARMA DRUGSTORE LTDA;PI;1618,49;
2;2171004691;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;118828,0;POP FARMA DRUGSTORE LTDA;PI;1618,49;
2;2171004694;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;95621,0;FRANCILIO HILDERBRANDO FERNANDES RODRIGUES MEE;PI;9474,39;
2;2171004694;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;95621,0;FRANCILIO HILDERBRANDO FERNANDES RODRIGUES MEE;PI;9474,39;
2;2171004695;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;56316,0;REINALDO E FILHOS LTDA;PI;4770,88;
2;2171004695;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;56316,0;REINALDO E FILHOS LTDA;PI;4770,88;
2;2171004696;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;54933,0;FARMACIA POPULAR DO DIRCEU LTD;PI;3027,4;
2;2171004696;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;54933,0;FARMACIA POPULAR DO DIRCEU LTD;PI;3027,4;
2;2171004697;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;93517,0;E A DOS SANTOS SOUSA;PI;1052,95;
3;2178003281;30241;KIMBERLY-CLARK BRASIL IND.E CO;118722,0;IBIFARMA COMERCIO DE PRODUTOS FARMACEUTICOS E HOSPITALARES;CE;2574,14;
3;2178003282;30241;KIMBERLY-CLARK BRASIL IND.E CO;93752,0;F NIKELLY PEREIRA DE ALMEIDA;CE;6448,95;
3;2178003283;30241;KIMBERLY-CLARK BRASIL IND.E CO;88665,0;PRODUTOS FARMACEUTICOS TORRES;CE;4457,69;
3;2178003284;30241;KIMBERLY-CLARK BRASIL IND.E CO;88665,0;PRODUTOS FARMACEUTICO NOGUEIRA;CE;2860,68;
3;2178003301;30241;KIMBERLY-CLARK BRASIL IND.E CO;80565,0;SILVERLANDIO MENDES FERNANDES LTDA;CE;8000,53;
3;2178003302;30241;KIMBERLY-CLARK BRASIL IND.E CO;80565,0;FARMACIA MENESCAL LTDA;CE;8889,48;
3;2178003317;30241;KIMBERLY-CLARK BRASIL IND.E CO;103995,0;POSTO DE MEDICAMENTOS SANTOS LTDA;CE;6168,16;
3;2178003318;30241;KIMBERLY-CLARK BRASIL IND.E CO;103995,0;FARMACIA POPULAR MAIS SAUDE LTDA;CE;6168,16;
3;2178003332;30241;KIMBERLY-CLARK BRASIL IND.E CO;81217,0;OLIVEIRA E CABRAL LTDA  ME;CE;9189,75;
3;2178003333;30241;KIMBERLY-CLARK BRASIL IND.E CO;81217,0;OLIVEIRA E CABRAL LTDA - ME;CE;6314,81;
3;2178003334;30241;KIMBERLY-CLARK BRASIL IND.E CO;81217,0;OLIVEIRA E CABRAL LTDA EPP;CE;11809,47;
3;2178003335;30241;KIMBERLY-CLARK BRASIL IND.E CO;81217,0;OLIVEIRA E CABRAL LTDA;CE;4896,52;
3;2178003336;30241;KIMBERLY-CLARK BRASIL IND.E CO;89527,0;FRANCISCA LINDE LOPES REGO-ME;CE;1288,09;
3;2178003337;30241;KIMBERLY-CLARK BRASIL IND.E CO;93752,0;F NIKELLY PEREIRA DE ALMEIDA;CE;974,84;
9;2183009100;33057;NATULAB LABORATORIO LTDA;100588,0;AFODROGAS AFOGADOS DROGARIA LTDA;PE;616,74;
9;2183009101;33057;NATULAB LABORATORIO LTDA;100588,0;FARMASHOPPING LTDA;PE;446,68;
9;2183009102;33057;NATULAB LABORATORIO LTDA;100588,0;TACARUNA DROGARIA LTDA;PE;628,31;
9;2183009103;33057;NATULAB LABORATORIO LTDA;100588,0;COMPROFARMA COM ASSISTENC DA IND FARMACEUTICA LTDA;PE;493,63;
9;2183009104;33057;NATULAB LABORATORIO LTDA;100588,0;FARMASHOPPING LTDA;PE;312,56;
9;2183009105;33057;NATULAB LABORATORIO LTDA;100588,0;FARMASHOPPING LTDA;PE;522,32;
9;2183009106;33057;NATULAB LABORATORIO LTDA;100588,0;FARMASHOPPING LTDA;PE;206,6;
9;2183009107;33057;NATULAB LABORATORIO LTDA;100588,0;FARMASHOPPING LTDA;PE;163,27;
9;2183009108;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO LTDA;PE;948,71;
9;2183009109;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;560,76;
9;2183009110;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;751,47;
9;2183009111;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA POPULAR DO RECIFE LTDA.  ME;PE;448,23;
9;2183009112;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;548,02;
9;2183009113;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;199,58;
9;2183009114;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;323,68;
9;2183009115;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA POPULAR DO RECIFE LTDA. - ME;PE;1256,85;
9;2183009116;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;354,6;
9;2183009117;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA POPULAR DO RECIFE LTDA.;PE;314,49;
9;2183009118;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;573,17;
9;2183009119;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA AGRESTINA UM LTDA.;PE;314,37;
9;2183009120;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;151,56;
9;2183009121;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA AGRESTINA TRES LTDA;PE;1022,22;
9;2183009122;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA AGRESTINA QUATRO LTDA.;PE;493,56;
9;2183009123;33057;NATULAB LABORATORIO LTDA;100950,0;CAMARAGIBE DROGAS LTDA - EPP;PE;140,28;
9;2183009124;33057;NATULAB LABORATORIO LTDA;100950,0;FCIA AVENIDA LTDA;PE;354,51;
9;2183009125;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;583,48;
9;2183009126;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;135,15;
9;2183009127;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;370,99;
9;2183009128;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;162,09;
9;2183009129;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;60,57;
9;2183009130;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;35,54;
9;2183009131;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;971,52;
9;2183009132;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;175,39;
9;2183009133;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;439,34;
9;2183009134;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;418,39;
9;2183009135;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;323,16;
9;2183009136;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;284,02;
9;2183009137;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;264,79;
9;2183009138;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;371,06;
9;2183009139;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;460,94;
9;2183009140;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA POPULAR DO RECIFE LTDA.  ME;PE;73,01;
9;2183009141;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;326,4;
9;2183009142;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;376,85;
9;2183009143;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;504,48;
9;2183009144;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;551,21;
9;2183009145;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA AGRESTINA QUATRO LTDA;PE;2094,03;
9;2183009146;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;299,17;
9;2183009147;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;56,42;
9;2183009148;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;317,63;
9;2183009149;33057;NATULAB LABORATORIO LTDA;100950,0;AGRESTINA 5 LTDA;PE;325,04;
9;2183009150;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;428,09;4,15
9;2183009151;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;495,79;
9;2183009152;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;690,54;
9;2183009153;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;645,18;
9;2183009154;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;707,33;
9;2183009155;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;1184,42;
9;2183009156;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;477,42;
9;2183009157;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;598,65;
9;2183009158;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;380,41;
9;2183009159;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;917,78;
9;2183009160;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;512,96;
9;2183009161;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;393,13;
9;2183009162;53333;GERMED FARMACEUTICA LTDA;103355,0;FARMACIA CORACAO DE MARIA LTDA;PE;330,22;
9;2183009181;53333;GERMED FARMACEUTICA LTDA;103355,0;FARMACIA CORACAO DE MARIA LTDA;PE;743,93;
9;2183009182;53333;GERMED FARMACEUTICA LTDA;101229,0;EDUARDO ANTUNES C DA SILVA NETTO - PRODUTOS FARMACEUTICOS LT;PE;549,02;
8;2183009183;33057;NATULAB LABORATORIO LTDA;100588,0;AFODROGAS AFOGADOS DROGARIA LTDA;PE;33,6;
8;2183009184;33057;NATULAB LABORATORIO LTDA;100588,0;FARMASHOPPING LTDA;PE;33,6;
8;2183009185;33057;NATULAB LABORATORIO LTDA;100588,0;TACARUNA DROGARIA LTDA;PE;33,6;
8;2183009186;33057;NATULAB LABORATORIO LTDA;100588,0;FARMASHOPPING LTDA;PE;20,16;
8;2183009187;33057;NATULAB LABORATORIO LTDA;100588,0;FARMASHOPPING LTDA;PE;16,8;
8;2183009188;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO LTDA;PE;66,39;
8;2183009189;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;53,12;
8;2183009190;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;49,8;
8;2183009191;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA POPULAR DO RECIFE LTDA.  ME;PE;29,88;
8;2183009192;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;9,96;
8;2183009193;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;49,8;
8;2183009194;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA POPULAR DO RECIFE LTDA. - ME;PE;66,39;
8;2183009195;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;16,6;
8;2183009196;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA AGRESTINA UM LTDA.;PE;39,84;
8;2183009197;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA AGRESTINA TRES LTDA;PE;121,42;
8;2183009199;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;87,99;
8;2183009200;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;34,4;
8;2183009201;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;13,28;
8;2183009202;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;55,03;
8;2183009203;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;61,91;
8;2183009204;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;27,52;
8;2183009205;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;3,32;
8;2183009207;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;13,28;
8;2183009208;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;33,2;
8;2183009209;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;49,8;
8;2183009211;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;137,58;
8;2183009212;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA POPULAR DO RECIFE LTDA.  ME;PE;61,91;
8;2183009213;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA.;PE;53,12;
8;2183009214;33057;NATULAB LABORATORIO LTDA;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;9,96;
8;2183009215;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;324,39;
8;2183009216;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;210,59;
8;2183009217;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;170,69;
8;2183009218;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;284,49;
8;2183009219;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;210,59;
8;2183009220;33057;NATULAB LABORATORIO LTDA;101367,0;TRADICAO MEDICAMENTOS LTDA;PE;250,5;
9;2183009221;53333;GERMED FARMACEUTICA LTDA;103355,0;FARMACIA CORACAO DE MARIA LTDA;PE;189,75;
9;2183009227;789662;SANOFI MEDLEY FARMACEUTICA LTDA;101229,0;J MEDICAMENTOS LTDA;PE;112,34;
9;2183009231;789662;SANOFI MEDLEY FARMACEUTICA LTDA;101723,0;FARMACIA DROGAMEDIC COMERCIO DE PRODUTOS FARMACEUT;PE;53,16;
9;2183009232;53333;GERMED FARMACEUTICA LTDA;103348,0;FARMACIA DO SUCESSO LTDA;PE;126,85;126,85
9;2183009233;53333;GERMED FARMACEUTICA LTDA;100839,0;A B S ARAGAO & CIA LTDA;PE;169,87;
9;2183009234;53333;GERMED FARMACEUTICA LTDA;100839,0;A B S ARAGAO & CIA LTDA;PE;280,72;
9;2183009269;53333;GERMED FARMACEUTICA LTDA;102104,0;OSIEL BARBOZA DA SILVA FARMACIA;PE;290,8;
9;2183009280;789662;SANOFI MEDLEY FARMACEUTICA LTDA;103355,0;FARMACIA CORACAO DE MARIA LTDA;PE;672,03;
9;2183009287;47252;HYPERA S.A;100950,0;FARMACIA DIARIAMENTE COMERCIO DE MEDICAMENTOS LTDA;PE;20703,09;
9;2183009298;789662;SANOFI MEDLEY FARMACEUTICA LTDA;100790,0;FARMACIA TALENTO LTDA;PE;179,08;
9;2183009308;789662;SANOFI MEDLEY FARMACEUTICA LTDA;100790,0;FARMACIA BIS LTDA;PE;668,36;
9;2183009319;47252;HYPERA S.A;101229,0;VIRGINIA S SOUZA;PE;3893,32;
9;2183009320;47252;HYPERA S.A;101229,0;EDUARDO ANTUNES C DA SILVA NETTO - PRODUTOS FARMACEUTICOS LT;PE;3640,71;
9;2183009321;47252;HYPERA S.A;101229,0;FARMA SAUDE MEDICAMENTOS LTDA;PE;2704,06;
9;2183009322;47252;HYPERA S.A;101229,0;EDUARDO A. C DA SILVA NETTO MEDICAMENTOS LTDA;PE;2251,06;
9;2183009324;47252;HYPERA S.A;101229,0;SOUZA & ANTUNES LTDA;PE;1935,2;
9;2183009325;47252;HYPERA S.A;101229,0;J MEDICAMENTOS LTDA;PE;3125,82;
9;2183009327;47252;HYPERA S.A;101229,0;J MEDICAMENTOS LTDA;PE;2642,28;
9;2183009328;47252;HYPERA S.A;101229,0;SOUZA & ANTUNES LTDA EPP;PE;1561,19;
9;2183009329;47252;HYPERA S.A;101723,0;FARMACIA DROGAMEDIC COMERCIO DE PRODUTOS FARMACEUT;PE;15915,27;
9;2183009339;47252;HYPERA S.A;101723,0;FARMACIA G3 COMERCIO DE PRODUTOS FARMACEUTICOS LTD;PE;8415,03;
9;2183009340;47252;HYPERA S.A;101723,0;FARMACIA G2 COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;PE;9787,53;
9;2183009341;47252;HYPERA S.A;101723,0;FARMACIA  G 5  COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;PE;7082,88;
9;2183009343;47252;HYPERA S.A;101723,0;FARMACIA G6 COMERCIO DE PRODUTOS FARMACEUTICOS LTD;PE;1309,88;
