fornecedor_nome;fornecedor_cnpj;cliente_nome;cliente_cnpj;estado;total_valor_pedido;total_pedidos_qtd
LABORATORIO GLOBO LTDA;31305;FCIA ITINGA;92617;MA;2656.60;1
GEOLAB IND FARMACEUTICA S/A;33928;DROGARIAS BOM LUGAR;96614;MA;4542.50;1
SOFTYS BRASIL LTDA;789603;COMERCIAL DE MEDICAMENTOS NUNES LTDA;80564;CE;47699.36;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;BARBARA ANANDA COSTA CAMPOS AVELINO;119573;CE;3726.46;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;TOTAL PLUS;20061;CE;3281.67;2
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMA FAMA;93659;MA;2169.14;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA CENTER POPULAR (LJ 2) U JANGURU;81356;CE;1153.76;1
EMS S/A;5582;ANTONIO JOSE CARNEIRO;91168;CE;8385.00;1
GEOLAB IND FARMACEUTICA S/A;33928;FARM.MEDICAL;81399;CE;2202.78;1
TORRENT DO BRASIL LTDA;792019;FARMACIA AVENIDA;7565;BA;5812.70;1
NEOQUIMICA;47252;FARMACIA SANTO ANTONIO;6621;BA;1013.66;1
WELLA BRASIL LTDA;794029;SUPERMERCADO MORANGUINHO -LJ01;87995;CE;11000.00;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMA LARA;75752;MA;1134.80;1
NEOQUIMICA;47252;FARMACIA FARMA FORTE;131180;CE;6580.78;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;JOSE DION FREITAS EIRELI ME;95528;CE;2006.64;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA CASTELO BRANCO;97038;CE;1419.64;1
HIDROLIGHT DO BRASIL S.A;791209;COMERCIAL DE MEDICAMENTOS SILVA LTDA;80564;CE;2025.39;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARM.SOLONOPOLES;80564;CE;8916.50;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FRANCILIO HILDERBRANDO FERNANDES RODRIGUES MEE;95621;PI;2162.31;1
TORRENT DO BRASIL LTDA;792019;PREA FARMA;99150;CE;1540.00;1
NATULAB LABORATORIO LTDA;33057;FARMAFLOR;96643;CE;3137.55;1
HIDROLIGHT DO BRASIL S.A;791209;FARMACIA BANABUIU;88665;CE;1339.92;1
SOFTYS BRASIL LTDA;789603;FARMALOPES;120928;CE;5451.50;1
SOFTYS BRASIL LTDA;789603;VALOR BRASIL COMERCIO DE MEDICAMENTOS LTDA;93555;CE;2404.69;1
NATULAB LABORATORIO LTDA;33057;MEDICAL FARMA;91823;MA;1680.02;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA CONVIVA;91259;CE;3364.32;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;DROGARIAS BOM LUGAR;96614;MA;4109.70;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;DROGARIA FRANCILIO FILIAL 2;95621;PI;10000.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;NOSSA FARMACIA;90446;CE;421.38;1
NEOQUIMICA;47252;FARMACIA DO TRABALHADOR POPULAR;91951;CE;3635.94;1
SOFTYS BRASIL LTDA;789603;CELSO FLORENTINO TEIXEIRA SOBRINHO;88717;CE;8032.90;1
TORRENT DO BRASIL LTDA;792019;HAPFARMA;93619;CE;607.30;1
EMS S/A;5582;M C CARVALHO COMERCIO FARMACEUTICO LTDA;89397;CE;2500.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;J I ARAUJO MEDICAMENTOS;91357;CE;9304.74;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARMACIA ESTILO;80732;CE;434.19;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;DROG BEZERRA LEAL;60038;PI;6881.04;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;COEMDIBRA;84816;CE;1564.20;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;RHAABE DE KASSIA FONTELES DOS SANTOS ME;99150;CE;2108.74;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA FONTENELE;99908;CE;1444.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;DROGARIA ULTRA POPULAR;95647;MA;2573.50;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA MAIS SAUDE;7104;BA;8301.38;3
PRO NOVA DIST E COM DE COSMETICOS LTDA - GIOVANNA BABY;792121;COEMDIBRA;84816;CE;5487.84;1
EMS S/A;5582;FARMA FAMA;93659;MA;2425.16;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;VAREJAO DOS COMPRIMIDOS (FILIAL 1);80794;CE;7497.60;1
GERMED FARMACEUTICA LTDA;53333;FARMACIA MAIS POPULAR;99821;BA;1072.00;1
LABORATORIO GLOBO LTDA;31305;FERNANDES FARMA;96481;CE;4813.96;1
NATULAB LABORATORIO LTDA;33057;FERNANDES FARMA;96481;CE;8084.96;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARM FERNANDES;86926;CE;5041.26;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROGA JADE.;81247;CE;3732.30;1
MILI S/A;789168;CUSTO POPULAR;97412;CE;2675.90;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;DROGARIA FRANCILIO SUPER;95621;PI;5000.00;1
LOLLY BABY PRODUTOS INFANTIS L;30083;FARMANOVA;80555;CE;2110.47;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA DO TRABALHADOR DO POVO;123844;CE;2030.42;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;COMERCIAL DE MEDICAMENTOS NUNES LTDA;80564;CE;887.90;1
NEOQUIMICA;47252;FAMANATO;93555;CE;36430.00;1
NEOQUIMICA;47252;ECONOMIZE FARMA;91951;CE;3269.65;1
LABORATORIO GLOBO LTDA;31305;FARMACIA ALIANCA;1372;BA;1020.46;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;DROGAMEDIC;101723;PE;9598.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;VITTA FARMA POPULAR;96388;MA;2006.28;1
SOFTYS BRASIL LTDA;789603;VIDAL BARROSO V E A LTDA;91427;CE;49296.00;1
SOFTYS BRASIL LTDA;789603;REALPHARMA LTDA;129511;CE;50000.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;MEDMAIS POPULAR;119577;BA;5432.08;1
ACCUMED PROD MED HOSP LTDA;48933;DROGAGILDO;80548;CE;1498.25;1
NEOQUIMICA;47252;DROG SILVA ROCHA;3843;BA;128595.05;1
GERMED FARMACEUTICA LTDA;53333;ATENDBEM MATRIZ;7057;BA;10000.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;IBIFARMA COMERCIO DE PRODUTOS FARMACEUTICOS E HOSPITALARES;118722;CE;1231.32;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;LOJA 7;85007;CE;60000.00;1
GERMED FARMACEUTICA LTDA;53333;FARMACIA NOGUEIRA;119544;CE;5600.00;1
TORRENT DO BRASIL LTDA;792019;FARMACIA FONTENELE;99908;CE;745.19;1
NEOQUIMICA;47252;FCIA POPULAR;54933;PI;23141.02;1
NEOQUIMICA;47252;FARMACIA DA PRAÇA;63894;PI;56418.34;1
NEOQUIMICA;47252;DROGARIA UNIAO;92306;CE;5032.00;1
NATULAB LABORATORIO LTDA;33057;BIG FARMA;91951;CE;1004.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;CENTRAL POPULAR;8603;BA;26865.88;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;FCIA DO PRAÇA;63894;PI;850.20;2
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMACIA FARMAVIDA;87961;CE;1111.96;1
LOLLY BABY PRODUTOS INFANTIS L;30083;SILVA E GALVAO LTDA;80555;CE;2110.47;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIAS BOM LUGAR;96614;MA;2020.30;1
NEOQUIMICA;47252;ARAUJO E ANDRADE EMPREENDIMENT;93405;CE;8802.20;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMACIA DO BAIRRO;86237;CE;2666.20;1
SOFTYS BRASIL LTDA;789603;SUPERFARMA;86849;CE;77421.38;5
NEOQUIMICA;47252;FARMACIA ZILMA;96097;CE;1601.50;1
LOLLY BABY PRODUTOS INFANTIS L;30083;ULTRA POPULAR;96359;MA;33200.00;1
NEOQUIMICA;47252;FARMA VITOR;75779;MA;13980.46;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA PALMACIA;87198;CE;1444.14;1
GEOLAB IND FARMACEUTICA S/A;33928;L F P RODRIGUES & CIA LTDA;95212;MA;1761.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMA VITOR;75779;MA;1701.60;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMACIA CAMPELO;81304;CE;1013.32;1
TORRENT DO BRASIL LTDA;792019;SOARES DROGARIA & PE;92923;MA;1230.04;1
NEOQUIMICA;47252;DROGARIA MULTIFARMA;240;BA;8138.83;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;HIPER POPULAR ARARI LTDA;91823;MA;1507.00;1
NEOQUIMICA;47252;IBIFARMA COMERCIO DE PRODUTOS FARMACEUTICOS E HOSPITALARES;118722;CE;3542.73;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;DROGARIAS BOM LUGAR;96614;MA;10078.48;1
ACCUMED PROD MED HOSP LTDA;48933;FARMA POPULAR ACARAU LTDA;77160;CE;1358.11;1
NATULAB LABORATORIO LTDA;33057;I FARMA;99055;CE;3052.23;1
LABORATORIO GLOBO LTDA;31305;FARM.SAO FRANCISCO;81062;CE;1535.93;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA DR NAHIN;93405;CE;5077.96;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMACIA CAUCAIA;80576;CE;4000.00;1
LABORATORIO GLOBO LTDA;31305;FCIA DO TRABALHOR DE;92963;MA;1024.60;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;F S C MEDICAMENTOS LTDA;81189;CE;3162.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;HIPER POPULAR DROGARIAS;96158;CE;1027.56;1
NEOQUIMICA;47252;FARMACIA CONVIVA ACOPIARA;93209;CE;1068.65;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARM FERNANDES;86926;CE;1004.40;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;R A MACIELCOMERCIAL DE MEDICAMENTOS LTDA;118536;CE;3242.63;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;PRO-SAUDE;84079;CE;601.72;1
LOLLY BABY PRODUTOS INFANTIS L;30083;COMERCIAL FARMACEUTICO JARDIM LTDA;91145;CE;1764.33;1
GERMED FARMACEUTICA LTDA;53333;FARMACIA FARMAVIDA;87961;CE;1714.00;1
MILI S/A;789168;FARMACIA PACATUBA;81330;CE;5005.75;1
TORRENT DO BRASIL LTDA;792019;A MAIS BARATA DE PACAJUS;91357;CE;1355.44;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA DONATO;8265;CE;1084.48;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;DROGARIA FEITOSA;80467;CE;6030.32;2
EMS S/A;5582;FARMAFLOR;96643;CE;1558.65;1
SOFTYS BRASIL LTDA;789603;FARMACIA DO TRABALHADOR DE JACOBINA;7352;BA;10000.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FERNANDES FARMA;96481;CE;1317.04;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;PRO-SAUDE;84079;CE;1271.73;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARMACIA MEDICAMENTOS REGIS;89950;CE;1010.40;1
SOFTYS BRASIL LTDA;789603;FARMACIA NEVES;99574;CE;4483.56;1
EMS S/A;5582;FARMACIA SAO BENTO ;96970;CE;1000.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMACIA CONFIANCA;89845;CE;262.77;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;M C CARVALHO COMERCIO FARMACEUTICO LTDA;89397;CE;3727.30;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARMA POPULAR;120344;CE;1563.64;1
GEOLAB IND FARMACEUTICA S/A;33928;OLIVEIRA & QUEIROGA LTDA;103931;CE;1448.43;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FCIA VILLA MARIANA;3434;BA;1010.79;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;ARMAZEM REINALDO;56316;PI;4882.86;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;SLIM FARMA FARMACIA POPULAR LTDA EPP;124954;CE;998.40;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;FARMA VITOR;75779;MA;1381.44;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMA FAMA;93659;MA;11990.03;1
NEOQUIMICA;47252;FARMACIA CENTER POPULAR (LJ 4) C PERIMEN;81356;CE;3338.99;1
NATULAB LABORATORIO LTDA;33057;FARMACIA GENTIL;83453;CE;2115.40;1
HIDROLIGHT DO BRASIL S.A;791209;PRO-SAUDE;84079;CE;416.36;1
WELLA BRASIL LTDA;794029;ORIGINAL FARMA;88659;CE;1000.00;1
NEOQUIMICA;47252;ARMAZEM REINALDO;56316;PI;6221.00;1
SOFTYS BRASIL LTDA;789603;FARMACIA AVENIDA;7565;BA;60765.80;4
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA DR NAHIN;93405;CE;1657.11;1
SOFTYS BRASIL LTDA;789603;MERCANTIL SAO TOME;84597;CE;25055.00;1
NATULAB LABORATORIO LTDA;33057;FARMABELLA;104270;MA;3070.16;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;FARMACIAS OMEGA;93004;MA;2527.28;1
HIDROLIGHT DO BRASIL S.A;791209;FARMACIA TEND TUDO;100665;PE;2113.60;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;FARMACIA POPULAR;87096;CE;2300.00;1
LOLLY BABY PRODUTOS INFANTIS L;30083;FARMACIA SANTANA;93405;CE;4000.00;1
EMS S/A;5582;FARMACIA BEM ESTAR;104393;CE;2094.57;1
GERMED FARMACEUTICA LTDA;53333;FARMACIA PRO VIDA LJ 01 (MATRIZ);86285;CE;30000.00;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMACIA MODERNA;81846;CE;2058.72;1
GERMED FARMACEUTICA LTDA;53333;DISK SAUDE;87795;CE;13200.00;1
EMS S/A;5582;FARMACIA DO ARCO;80318;CE;2944.25;1
SOFTYS BRASIL LTDA;789603;DROGARIAS FARBEM;121639;PI;5082.86;1
TORRENT DO BRASIL LTDA;792019;FARMACIA VITORIA;84077;CE;3078.24;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;VAREJAO DOS COMPRIMIDOS MARTINS;93262;CE;628.69;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;MERCANTIL DLS DE ALIMENTOS LTDA;120864;CE;1685.20;1
TORRENT DO BRASIL LTDA;792019;SUPERFARMA;86849;CE;1627.31;1
ACCUMED PROD MED HOSP LTDA;48933;FERNANDES FARMA;96481;CE;2282.33;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;JOSE WILKER MARTINS DA SILVA;96621;CE;1036.14;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;LOJA 7;85007;CE;15000.00;1
TORRENT DO BRASIL LTDA;792019;R & B COMERCIAL FARMACEUTICA LTDA ME;92072;CE;1024.58;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;DROGAFARMA;80953;CE;1492.56;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA E DROGARIA VARGEMFARMA LTDA;94041;MA;1381.38;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARMACIA BEM ESTAR;95881;CE;347.76;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;R A MACIELCOMERCIAL DE MEDICAMENTOS LTDA;118536;CE;1039.50;1
EMS S/A;5582;J & P COMERCIO DE MEDICAMENTOS LTDA ME;92094;CE;1850.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA MAIS POPULAR;99821;BA;1412.84;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;DROGARIA DEMAIS POPULAR;104265;CE;2010.90;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;TICIANY P. RODRIGUES ME;94072;CE;1530.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;DROGARIA FRANCILIO SUPER;95621;PI;3746.96;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;DROG MEGA FARMA;93043;MA;1.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DEUSAFARMA FARMACIA LTDA ME;104373;CE;3370.37;1
TORRENT DO BRASIL LTDA;792019;FARMACIA DUDA & GABI;2961;BA;3445.82;2
NEOQUIMICA;47252;I FARMA;99055;CE;4562.46;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA SANFARMA;91259;CE;3364.32;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA SANTA BRANCA;126589;CE;1000.00;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;JAGUARFARMA;87782;CE;546.84;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;LOJA 7;85007;CE;200000.00;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA MAIS POPULAR;99821;BA;237.00;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;FARMA POPULAR ACARAU LTDA;77160;CE;428.76;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;DROGARIAS ULTRA POPULAR ;95647;MA;3630.00;2
NEOQUIMICA;47252;FCIA LARISSA;92553;MA;1619.61;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;DROGARIAS FEITOSA;80467;CE;2060.00;1
BEBE SAUDE LTDA;790756;GRUPO TOTAL;10000;CE;42218.92;18
KLEY HERTZ DISTRIBUIDORA LTDA;789423;DROGARIA N S APARECIDA;88968;CE;1260.00;1
NATULAB LABORATORIO LTDA;33057;FARMACIA CAUCAIA;80576;CE;3477.88;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;COMERCIAL DE MEDICAMENTOS SOLONOPOLE LTDA;80564;CE;6568.50;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMACIA BOM PRECO;93183;CE;676.76;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;DROGARIAS FEITOSA;80467;CE;2599.23;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;AGAFARMA;102104;PE;20000.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA FARMAVIDA;87961;CE;1466.26;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;JOSE LEONARDO F LTDA;131831;CE;1310.94;1
NEOQUIMICA;47252;FARM SANTA BRANCA (MATRIZ);80636;CE;14950.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA CENTER POPULAR (LJ 01)ESPERANCA;81356;CE;1195.46;1
LABORATORIO GLOBO LTDA;31305;VARGEMFARMA;94041;MA;5188.98;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROGARIA POUPE JA;102068;PE;43000.00;1
EMS S/A;5582;FARMACIA PRO VIDA LJ 01 (MATRIZ);86285;CE;1070.00;1
GEOLAB IND FARMACEUTICA S/A;33928;DROGARIA POPULAR;93661;CE;1846.16;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA SAO JOSE IPU EIRELI;80672;CE;834.66;1
EMS S/A;5582;FARMACIA VITORIA;124075;PI;1917.06;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA PROVIDA ( LOJA 06 );86285;CE;5838.60;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;COMERCIAL FARMACEUTICO JARDIM LTDA;91145;CE;2500.00;1
EMS S/A;5582;CEGIANE GESSICA A MONTEIRO ME;77160;CE;3000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;POP FARMA;103320;PE;767.84;1
LABORATORIO GLOBO LTDA;31305;REBEKA NEVES DE MENEZES ME;99574;CE;457.22;1
ACCUMED PROD MED HOSP LTDA;48933;SUPER PRECO BAIXO;98035;CE;383.52;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;CRISTIANO MOREIRA MAIA;64556;CE;6021.52;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA SAO JOSE;86926;CE;5145.65;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARM FERNANDES;86926;CE;5435.04;1
GEOLAB IND FARMACEUTICA S/A;33928;MEGAFARMA ;119061;PI;4692.03;1
EMS S/A;5582;DROGA ALVES;92677;MA;14744.55;2
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMACIA MODERNA;81846;CE;1633.86;1
NEOQUIMICA;47252;FARMACIA MILAGRESFARMA;96856;CE;1054.70;1
TORRENT DO BRASIL LTDA;792019;NOSSA FARMACIA;90446;CE;542.23;1
SOFTYS BRASIL LTDA;789603;FARM.SOLONOPOLES;80564;CE;127885.92;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;GRUPO TOTAL;10000;CE;12823.63;8
LABORATORIO GLOBO LTDA;31305;FARMACIA E DROGARIA VARGEMFARMA LTDA;94041;MA;4866.96;1
NATULAB LABORATORIO LTDA;33057;JOSE WILKER MARTINS DA SILVA;96621;CE;5289.95;2
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROGA ALVES;92677;MA;4348.08;1
LABORATORIO GLOBO LTDA;31305;FARMACIA DO TRABALHADOR;95212;MA;2103.98;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;PHARMAFACIL DRUGSTORE EIRELI;95199;CE;1039.89;1
HYPERA PP E CH;32;DISK SAUDE;87795;CE;13774.64;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMACIA PACATUBA;81330;CE;1472.66;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA PADRE CICERO;86861;CE;616.29;1
ACCUMED PROD MED HOSP LTDA;48933;CONCEITO FARMA;98129;CE;1338.88;1
NATULAB LABORATORIO LTDA;33057;JOSE DION FREITAS EIRELI ME;95528;CE;0.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;MACEDO COMERCIO DE MEDICAMENTOS LTDA;80533;CE;1454.32;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;DROGARIA A FAVORITA;92940;MA;2954.72;2
SOFTYS BRASIL LTDA;789603;JOSE LEONARDO F LTDA;131831;CE;6628.70;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;ARMAZEM REINALDO;56316;PI;3188.80;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;RICARDO DIAS CARDOSO;94305;MA;1326.05;1
LOLLY BABY PRODUTOS INFANTIS L;30083;MERCANTIL OPCAO;85872;CE;2075.92;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA PRO SAUDE;7352;BA;8100.50;2
GEOLAB IND FARMACEUTICA S/A;33928;BARBARA ANANDA COSTA CAMPOS AVELINO;119573;CE;3414.89;1
BIOSINTETICA FARMACEUTICA LTDA;7676;HIPER FARMA;99632;CE;1585.00;1
ACCUMED PROD MED HOSP LTDA;48933;A. B. MARQUES - ME;89282;CE;1012.00;1
LABORATORIO GLOBO LTDA;31305;HAPFARMA;93619;CE;1560.51;1
HYPERA PP E CH;32;FARMACIA PORTELA EIRELI;94259;CE;4014.51;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;GRUPO TOTAL;10000;CE;57026.24;14
MILI S/A;789168;FARM FERNANDES;86926;CE;10005.48;1
WELLA BRASIL LTDA;794029;POSTO DE MEDICAMENTO CEFARMA;97412;CE;2000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;BENFARMA;98006;CE;5018.55;1
SOFTYS BRASIL LTDA;789603;FARMACIA FARMA FORTE;131180;CE;10689.50;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;EXTRA SAO JOSE;87326;CE;1637.68;1
SOFTYS BRASIL LTDA;789603;POP FARMA;118828;PI;345315.12;5
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA CONVIVA CAUCAIA;91259;CE;620.00;1
NEOQUIMICA;47252;FARMA POPULAR;123768;MA;3721.39;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA SAO JOSE;86926;CE;4343.60;1
EMS S/A;5582;FARMACIA UCHOA;93039;MA;12344.04;2
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA CENTER POPULAR (LJ 4) C PERIMEN;81356;CE;1471.74;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;SOCORRO FARMACEUTICO;92902;MA;841.82;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMACIA SAO BENTO ;96970;CE;2504.71;1
EMS S/A;5582;DROGARIA SAO FRANCISCO;81074;CE;1006.08;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;FARMACIA FONTENELE;99908;CE;1094.44;1
EMS S/A;5582;ELLO DISTRIBUIDORA DE MEDICAMENTOS EIRELI;95453;PI;18142.86;1
NEOQUIMICA;47252;PHARMAFACIL DRUGSTORE EIRELI;95199;CE;11538.33;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;CUSTO POPULAR;97412;CE;4040.00;1
ACCUMED PROD MED HOSP LTDA;48933;FARMA POPULAR;120344;CE;2303.66;1
SOFTYS BRASIL LTDA;789603;DROGARIA FRANCILIO FILIAL 2;95621;PI;50084.80;1
SOFTYS BRASIL LTDA;789603;FARMACIA GENTIL;83453;CE;23587.71;4
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARMACIA ECONOMICA;121837;CE;445.92;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROGARIA FEITOSA;80467;CE;35265.60;1
